page_url,date,page_views,page_avg_time,page_bounce_rate
ubuntu.com/engage/dockerandros,20211216,"3,853",0:01:00,86.98%
ubuntu.com/engage/dockerandros,20211214,"3,179",0:00:55,86.65%
ubuntu.com/engage/dockerandros,20211207,"2,843",0:01:05,87.57%
ubuntu.com/engage/dockerandros,20211212,"2,777",0:01:04,87.88%
ubuntu.com/engage/dockerandros,20211217,"2,570",0:00:56,86.42%
ubuntu.com/engage/dockerandros,20211209,"2,468",0:01:06,87.19%
ubuntu.com/engage/dockerandros,20211208,"2,395",0:01:06,89.05%
ubuntu.com/engage/dockerandros,20211213,"2,327",0:01:02,84.08%
ubuntu.com/engage/dockerandros,20211210,"2,300",0:01:02,87.39%
ubuntu.com/engage/dockerandros,20211211,"2,268",0:01:02,86.62%
ubuntu.com/engage/dockerandros,20211215,"2,172",0:00:52,87.08%
ubuntu.com/engage/dockerandros,20211206,"1,287",0:01:08,90.49%
ubuntu.com/engage/dockerandros,20211204,"1,026",0:01:05,85.48%
ubuntu.com/engage/dockerandros,20211205,813,0:00:56,84.06%
ubuntu.com/engage/dockerandros,20211202,631,0:01:09,83.98%
ubuntu.com/engage/dockerandros,20211201,431,0:01:05,86.50%
ubuntu.com/engage/dockerandros,20211130,385,0:01:35,77.43%
ubuntu.com/engage/dockerandros,20211129,377,0:01:52,75.86%
ubuntu.com/engage/dockerandros,20211128,255,0:01:25,80.15%
ubuntu.com/engage/dockerandros,20211203,244,0:00:54,83.64%
ubuntu.com/engage/dockerandros,20211127,238,0:00:56,80.91%
ubuntu.com/engage/ros-support,20210722,219,0:00:58,50.00%
ubuntu.com/engage/ros-support,20210727,215,0:00:38,57.14%
ubuntu.com/engage/ros-support,20210721,205,0:00:50,60.00%
ubuntu.com/engage/ros-support,20210728,198,0:00:31,50.00%
ubuntu.com/engage/ros-support,20210804,198,0:00:28,50.00%
ubuntu.com/engage/ros-support,20210726,194,0:00:49,71.43%
ubuntu.com/engage/ros-support,20210806,193,0:00:58,33.33%
ubuntu.com/engage/ros-support,20210724,190,0:00:27,100.00%
ubuntu.com/engage/ros-support,20210712,188,0:00:39,100.00%
ubuntu.com/engage/ros-support,20210729,185,0:00:56,50.00%
ubuntu.com/engage/ros-support,20210714,183,0:00:41,85.71%
ubuntu.com/engage/ros-support,20210819,180,0:01:00,33.33%
ubuntu.com/engage/ros-support,20210823,180,0:00:46,75.00%
ubuntu.com/engage/ros-support,20210720,179,0:00:44,71.43%
ubuntu.com/engage/ros-support,20210816,179,0:00:29,0.00%
ubuntu.com/engage/ros-support,20210828,179,0:00:37,0.00%
ubuntu.com/engage/dockerandros,20211230,178,0:00:52,55.56%
ubuntu.com/engage/ros-support,20210827,178,0:00:27,33.33%
ubuntu.com/engage/ros-support,20210817,177,0:00:27,28.57%
ubuntu.com/engage/ros-support,20210719,176,0:00:25,40.00%
ubuntu.com/engage/dockerandros,20211228,175,0:00:40,54.55%
ubuntu.com/engage/ros-support,20210815,175,0:00:53,100.00%
ubuntu.com/engage/ros-support,20210803,174,0:00:51,66.67%
ubuntu.com/engage/ros-support,20210814,173,0:00:35,50.00%
ubuntu.com/engage/ros-support,20210723,172,0:00:39,50.00%
ubuntu.com/engage/ros-support,20210812,171,0:00:43,0.00%
ubuntu.com/engage/ros-support,20210809,170,0:00:22,100.00%
ubuntu.com/engage/ros-support,20210826,170,0:00:26,0.00%
ubuntu.com/engage/ros-support,20210818,168,0:00:49,0.00%
ubuntu.com/engage/ros-support,20210707,167,0:00:33,50.00%
ubuntu.com/engage/ros-support,20210810,167,0:00:41,100.00%
ubuntu.com/engage/ros-support,20210824,165,0:00:50,66.67%
ubuntu.com/engage/ros-support,20210713,164,0:00:37,0.00%
ubuntu.com/engage/ros-support,20210709,163,0:00:49,37.50%
ubuntu.com/engage/ros-support,20210725,163,0:00:33,0.00%
ubuntu.com/engage/ros-support,20210801,161,0:00:35,40.00%
ubuntu.com/engage/ros-support,20210811,161,0:00:31,20.00%
ubuntu.com/engage/ros-support,20210820,161,0:00:52,0.00%
ubuntu.com/engage/ros-support,20210822,161,0:01:03,33.33%
ubuntu.com/engage/ros-support,20210708,160,0:00:45,0.00%
ubuntu.com/engage/ros-support,20210813,160,0:00:40,25.00%
ubuntu.com/engage/ros-support,20210730,159,0:00:36,75.00%
ubuntu.com/engage/dockerandros,20211229,158,0:01:01,33.33%
ubuntu.com/engage/ros-support,20210805,156,0:00:29,80.00%
ubuntu.com/engage/ros-support,20210825,154,0:00:32,100.00%
ubuntu.com/engage/ros-support,20210821,153,0:00:46,75.00%
ubuntu.com/engage/ros-support,20210830,153,0:00:35,0.00%
ubuntu.com/engage/dockerandros,20211218,152,0:00:34,90.00%
ubuntu.com/engage/dockerandros,20211220,151,0:00:57,81.82%
ubuntu.com/engage/ros-support,20210715,150,0:00:43,60.00%
ubuntu.com/engage/dockerandros,20211224,149,0:00:35,85.71%
ubuntu.com/engage/ros-support,20210829,148,0:00:54,33.33%
ubuntu.com/engage/ros-support,20210711,147,0:00:38,75.00%
ubuntu.com/engage/ros-support,20210802,147,0:00:39,50.00%
ubuntu.com/engage/ros-support,20210808,147,0:00:52,0.00%
ubuntu.com/engage/dockerandros,20211223,146,0:00:44,80.00%
ubuntu.com/engage/ros-support,20210717,145,0:00:48,0.00%
ubuntu.com/engage/ros-support,20210718,145,0:00:40,100.00%
ubuntu.com/engage/dockerandros,20211227,144,0:00:45,100.00%
ubuntu.com/engage/ros-support,20210716,144,0:00:51,0.00%
ubuntu.com/engage/dockerandros,20211221,137,0:00:53,100.00%
ubuntu.com/engage/dockerandros,20211222,137,0:00:44,72.73%
ubuntu.com/engage/ros-support,20210710,137,0:00:54,0.00%
ubuntu.com/engage/ros-support,20210731,126,0:00:36,50.00%
ubuntu.com/engage/dockerandros,20211219,124,0:00:27,75.00%
ubuntu.com/engage/dockerandros,20211226,124,0:00:31,50.00%
ubuntu.com/engage/dockerandros,20211231,118,0:00:48,100.00%
ubuntu.com/engage/dockerandros,20211126,116,0:01:26,78.57%
ubuntu.com/engage/ros-support,20210807,114,0:00:16,50.00%
ubuntu.com/engage/dockerandros,20211225,106,0:00:35,100.00%
ubuntu.com/engage/ros-support,20210831,91,0:00:39,100.00%
ubuntu.com/engage/ros-support,20210706,66,0:00:50,0.00%
ubuntu.com/engage/dockerandros,20211124,57,0:03:06,81.25%
ubuntu.com/engage/dockerandros,20211125,56,0:04:04,61.36%
ubuntu.com/engage/robot-operating-system-choice,20210421,53,0:01:42,84.00%
ubuntu.com/engage/robot-operating-system-choice,20210519,46,0:00:55,97.37%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20211117,45,0:00:25,82.05%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210307,44,0:02:41,71.05%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210530,43,0:01:05,86.11%
ubuntu.com/engage/robot-operating-system-choice,20210324,42,0:01:52,85.71%
ubuntu.com/engage/dockerandros,20211123,41,0:02:20,73.33%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20211118,38,0:02:38,76.47%
ubuntu.com/engage/robot-operating-system-choice,20210909,37,0:00:19,96.43%
ubuntu.com/engage/robot-operating-system-choice,20210126,35,0:02:24,81.82%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210824,35,0:01:44,80.65%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210201,33,0:01:05,65.62%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210727,32,0:01:09,74.07%
ubuntu.com/engage/robot-operating-system-choice,20211104,30,0:00:19,90.48%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210405,30,0:02:19,82.61%
ubuntu.com/engage/robot-operating-system-choice,20210715,28,0:03:03,90.00%
ubuntu.com/engage/robot-operating-system-choice,20210812,28,0:02:47,79.17%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210206,28,0:07:13,72.00%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210921,27,0:01:10,69.57%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20211221,27,0:01:04,74.07%
ubuntu.com/engage/robot-operating-system-choice,20210224,26,0:00:00,84.62%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210627,26,0:02:22,77.27%
ubuntu.com/engage/robot-operating-system-choice,20211007,25,0:04:57,90.48%
ubuntu.com/engage/robot-operating-system-choice,20211105,25,0:01:15,85.71%
ubuntu.com/engage/robot-operating-system-choice,20211230,25,0:01:13,81.82%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210202,22,0:01:18,68.42%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210205,22,0:01:05,90.48%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210108,21,0:00:33,75.00%
ubuntu.com/engage/robot-operating-system-choice,20210223,20,0:00:00,90.00%
ubuntu.com/engage/robot-operating-system-choice,20210616,20,0:01:41,100.00%
ubuntu.com/engage/robot-operating-system-choice,20211106,20,0:08:01,80.00%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210502,20,0:00:11,94.74%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210726,20,0:03:34,84.21%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210131,19,0:01:25,68.75%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210203,19,0:02:50,75.00%
ubuntu.com/engage/robot-operating-system-choice,20210709,18,0:00:48,80.00%
ubuntu.com/engage/robot-operating-system-choice,20211202,18,0:00:26,75.00%
ubuntu.com/engage/securing-ros-on-robotics-platforms-whitepaper,20210503,18,0:10:43,81.25%
